comp_id;comp_name;country;city;level;date;format
LT2019GRA3;Austrian WCH Qualifiers;AUT;Graschnitz;LT;2.6.2019;IR900
LT2019PLM;Outdoor Tournament;CZE;Plumlov;LT;22.6.2019;IR900
AO2019AUT;10. Austria Open;AUT;Innsbruck;IC;23.6.2019;IR1800
NC2019FRA;French National Championships;FRA;Chateroux;NC;23.6.2019;IR1800
CC2019VTR;24th Croatia Cup;CRO;Veliko Trgovisce;IC;30.6.2019;IR900
WC2019CRO;IAU World Cup;CRO;Veliko Trgovisce;WC;30.6.2019;IR900
NC2019BEL;Belgian National Championships;BEL;Brugge;NC;6.7.2019;IR900
BC2019CZE;20th Bohemia Cup;CZE;Otrokovice;IC;21.7.2019;IR900
WC2019CZE;IAU World Cup;CZE;Otrokovice;WC;21.7.2019;IR900
LT2019LTL2;Outdoor Tournament;CZE;Litultovice;LT;3.8.2019;IR900
WCH2019RUS;20th IAU World Championships;RUS;Ulyanovsk;WCH;18.8.2019;IR1800F
NC2019AUT;Austrian National Championships;AUT;Graschnitz;NC;31.8.2019;IR900
NC2019GER;German National Championship;GER;Kronau;NC;7.9.2019;IR900
NC2019CZE;Czech National Championships;CZE;Cechy pod Kosirem;NC;8.9.2019;IR1800
IC2019ESB;14th Europa Cup;CRO;Slavonski Brod;IC;6.10.2019;IR600
LT2019MBK;Bedrich Korbar Memorial;CZE;Plumlov;LT;12.10.2019;IR900
LT2020SHL;Outdoor Tournament;CZE;Suche Lazce;LT;23.5.2020;IR900
LT2020CPK;Outdoor Tournament;CZE;Cechy pod Kosirem;LT;13.6.2020;IR900
LT2020LTL;Outdoor Tournament;CZE;Litultovice;LT;18.7.2020;IR900
CC2020VTR;25th Croatia Cup;CRO;Veliko Trgovisce;IC;9.8.2020;IR900
BC2020CZE;21st Bohemia Cup;CZE;Otrokovice;IC;16.8.2020;IR900
NC2020CZE;Czech National Championships (Missing);CZE;Plumlov;NC;13.9.2020;IR900
NC2020AUT;Austrian National Championships;AUT;Graschnitz;NC;13.9.2020;IR900
IC2020ESB;15th Europa Cup;CRO;Slavonski Brod;IC;11.10.2020;IR600
LT2021CPK;Outdoor Tournament;CZE;Cechy pod Kosirem;LT;12.6.2021;IR900
CC2021VTR;26th Croatia Cup;CRO;Veliko Trgovisce;IC;27.6.2021;IR900
LT2021SHL;Outdoor Tournament;CZE;Suche Lazce;LT;10.7.2021;IR900
BC2021CZE;22nd Bohemia Cup;CZE;Otrokovice;IC;11.7.2021;IR900
LT2021KOB;Austria Regional West Tournament;AUT;Koblach;LT;11.7.2021;IR1800
NC2021CZE;Czech National Championships;CZE;Litultovice;NC;8.8.2021;IR900
LT2021GRA;Austria Regional Cup;AUT;Graschnitz;LT;21.8.2021;IR1800
NC2021GER;German National Championship;GER;Kronau;NC;18.9.2021;IR900
LT2021PLM;Outdoor Tournament;CZE;Plumlov;LT;19.9.2021;IR900
LT2021MBK;Bedrich Korbar Memorial;CZE;Plumlov;LT;9.10.2021;IR900
IC2021ESB;16th Europa Cup;CRO;Slavonski Brod;IC;17.10.2021;IR600
IC2021RUS;Volga Cup;RUS;Soleyonoe Zaimische;IC;18.10.2021;IR600
IC2021FRA1;CNTS Grand Prix (D1);FRA;Chateroux;IC;30.10.2021;IR600
IC2021FRA2;CNTS Grand Prix (D2);FRA;Chateroux;IC;31.10.2021;IR600
LT2022LTL;Outdoor Tournament;CZE;Litultovice;LT;23.4.2022;IR900
LT2022MFS;Frantisek Sedlacek Memorial;CZE;Kostelec na Hane;LT;14.5.2022;IR900
LT2022SHL;Outdoor Tournament;CZE;Suche Lazce;LT;4.6.2022;IR900
NC2022FRA;French National Championships;FRA;Cusset;NC;26.6.2022;IR900
NC2022BEL;Belgian National Championships;BEL;Brugge;NC;2.7.2022;IR900
CC2022VTR;27th Croatia Cup;CRO;Veliko Trgovisce;IC;17.7.2022;IR900
WC2022CRO;IAU World Cup;CRO;Veliko Trgovisce;WC;17.7.2022;IR900
BC2022CZE;23rd Bohemia Cup;CZE;Otrokovice;IC;31.7.2022;IR900
WC2022CZE;IAU World Cup;CZE;Otrokovice;WC;31.7.2022;IR900
NC2022AUT;Austrian National Championships;AUT;Graschnitz;NC;6.8.2022;IR900
CE2022HUN;Kis-Duna Cup;HUN;Dunavarsany;IC;14.8.2022;IR900
WCH2022HUN;21st IAU World Championship;HUN;Dunavarsany;WCH;19.8.2022;IR900
